datapath:/Users/vilkomira21/My Drive/ALBD/data/add_dim/imagenet8_small.csv
asIs:0.502
div:0.799
rows:60000
xcols:192
ycols:1
exploit, 20:0.34
explore, 20:0.34
Random, 20:0.34
b2, 20:0.34
EI_Linear, 20:4.23
expoit2, 20:0.34
UCB_GPM, 20:1.22
uncertainty_score, 20:0.33
margin_sampling, 20:0.34
simple_ucb, 20:0.34
balanced_ratio, 20:0.34
PI_linear, 20:0.34
harmonic_mean, 20:0.34
exp_margin, 20:0.33
ALBD, 20:0.79
exploit, 40:0.8
explore, 40:0.81
Random, 40:0.8
b2, 40:0.81
EI_Linear, 40:9.11
expoit2, 40:0.79
UCB_GPM, 40:3.07
uncertainty_score, 40:0.79
margin_sampling, 40:0.79
simple_ucb, 40:0.78
balanced_ratio, 40:0.8
PI_linear, 40:0.79
harmonic_mean, 40:0.8
exp_margin, 40:0.8
ALBD, 40:1.8
exploit, 60:1.35
explore, 60:1.34
Random, 60:1.34
b2, 60:1.34
EI_Linear, 60:14.29
expoit2, 60:1.35
UCB_GPM, 60:5.69
uncertainty_score, 60:1.36
margin_sampling, 60:1.35
simple_ucb, 60:1.33
balanced_ratio, 60:1.36
PI_linear, 60:1.37
harmonic_mean, 60:1.37
exp_margin, 60:1.38
ALBD, 60:2.9
#
0,             EI_Linear, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.03
0,               expoit2, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,               UCB_GPM, 40,  0.01,  0.01, *                   |                   ,  0.00,  0.00,  0.01,  0.02,  0.05
0,     uncertainty_score, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,                    b2, 60,  0.01,  0.02, *                   |                   ,  0.01,  0.01,  0.01,  0.02,  0.04
0,             EI_Linear, 40,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,               exploit, 60,  0.01,  0.01, *-                  |                   ,  0.00,  0.01,  0.01,  0.02,  0.06
0,       margin_sampling, 60,  0.01,  0.02, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,             PI_linear, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.03
0,               expoit2, 40,  0.01,  0.03, *-                  |                   ,  0.00,  0.01,  0.01,  0.03,  0.05
0,               UCB_GPM, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.00,  0.01,  0.02,  0.03
0,            exp_margin, 60,  0.01,  0.02, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,                Random, 40,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,                    b2, 40,  0.01,  0.03, *                   |                   ,  0.00,  0.01,  0.01,  0.03,  0.05
0,                Random, 60,  0.01,  0.02, *                   |                   ,  0.00,  0.00,  0.01,  0.03,  0.04
0,        balanced_ratio, 60,  0.01,  0.01, *                   |                   ,  0.00,  0.01,  0.01,  0.02,  0.04
0,               exploit, 40,  0.02,  0.03, *--                 |                   ,  0.00,  0.01,  0.02,  0.04,  0.08
0,               explore, 40,  0.02,  0.02, *-                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.07
0,            exp_margin, 40,  0.02,  0.02, *--                 |                   ,  0.00,  0.01,  0.02,  0.03,  0.09
0,                  ALBD, 40,  0.02,  0.01, *-                  |                   ,  0.00,  0.01,  0.02,  0.02,  0.06
0,            simple_ucb, 60,  0.02,  0.02, *-                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.05
0,                  ALBD, 60,  0.02,  0.02, *                   |                   ,  0.00,  0.01,  0.02,  0.03,  0.04
0,     uncertainty_score, 40,  0.02,  0.02, *-                  |                   ,  0.01,  0.01,  0.02,  0.03,  0.07
0,         harmonic_mean, 60,  0.02,  0.02, *                   |                   ,  0.00,  0.01,  0.02,  0.02,  0.03
0,            simple_ucb, 40,  0.02,  0.02, *--                 |                   ,  0.01,  0.01,  0.02,  0.03,  0.09
0,         harmonic_mean, 40,  0.02,  0.01, *-                  |                   ,  0.00,  0.02,  0.02,  0.03,  0.06
0,               explore, 60,  0.02,  0.02, *--                 |                   ,  0.00,  0.01,  0.02,  0.03,  0.08
0,            exp_margin, 20,  0.02,  0.08, *  -                |                   ,  0.00,  0.01,  0.02,  0.09,  0.11
0,       margin_sampling, 40,  0.02,  0.03, *-                  |                   ,  0.01,  0.01,  0.02,  0.04,  0.07
0,             EI_Linear, 20,  0.02,  0.04, * -                 |                   ,  0.00,  0.02,  0.02,  0.06,  0.09
0,               UCB_GPM, 20,  0.02,  0.03, *-                  |                   ,  0.00,  0.02,  0.02,  0.05,  0.06
0,             PI_linear, 40,  0.02,  0.03, *--                 |                   ,  0.00,  0.01,  0.02,  0.04,  0.08
0,        balanced_ratio, 40,  0.02,  0.02, *-                  |                   ,  0.00,  0.01,  0.02,  0.03,  0.06
0,       margin_sampling, 20,  0.03,  0.03,  *-                 |                   ,  0.01,  0.02,  0.03,  0.05,  0.08
#
1,                    b2, 20,  0.04,  0.04,  *-                 |                   ,  0.00,  0.01,  0.04,  0.05,  0.08
1,               expoit2, 20,  0.04,  0.03,  *-                 |                   ,  0.01,  0.02,  0.04,  0.05,  0.09
1,             PI_linear, 20,  0.04,  0.04,  *-                 |                   ,  0.00,  0.01,  0.04,  0.05,  0.08
1,                Random, 20,  0.04,  0.03,  *-                 |                   ,  0.01,  0.02,  0.04,  0.05,  0.09
1,     uncertainty_score, 20,  0.04,  0.05,  *---               |                   ,  0.01,  0.02,  0.04,  0.07,  0.13
1,            simple_ucb, 20,  0.04,  0.06,  *--                |                   ,  0.00,  0.01,  0.04,  0.07,  0.12
1,               explore, 20,  0.05,  0.07, - *--               |                   ,  0.01,  0.03,  0.05,  0.10,  0.14
1,                  ALBD, 20,  0.05,  0.05, - *-                |                   ,  0.01,  0.03,  0.05,  0.08,  0.12
1,         harmonic_mean, 20,  0.06,  0.06,   *--               |                   ,  0.01,  0.02,  0.06,  0.08,  0.13
1,               exploit, 20,  0.06,  0.10,   * ---             |                   ,  0.00,  0.02,  0.06,  0.12,  0.18
#
2,        balanced_ratio, 20,  0.08,  0.11, -  * -              |                   ,  0.01,  0.04,  0.08,  0.14,  0.17
#
3,                asIs,60000,  0.54,  0.40,    ---------        |*       -------    ,  0.08,  0.32,  0.54,  0.72,  0.91
