datapath:/Users/vilkomira21/My Drive/ALBD/data/binary_config/Scrum1k.csv
asIs:0.512
div:0.231
rows:1000
xcols:124
ycols:3
exploit, 10:0.04
explore, 10:0.04
Random, 10:0.04
b2, 10:0.04
EI_Linear, 10:0.59
expoit2, 10:0.04
UCB_GPM, 10:2.46
uncertainty_score, 10:0.04
margin_sampling, 10:0.04
simple_ucb, 10:0.04
balanced_ratio, 10:0.04
PI_linear, 10:0.04
harmonic_mean, 10:0.04
exp_margin, 10:0.04
ALBD, 10:0.12
exploit, 30:0.19
explore, 30:0.19
Random, 30:0.19
b2, 30:0.19
EI_Linear, 30:2.53
expoit2, 30:0.19
UCB_GPM, 30:10.7
uncertainty_score, 30:0.2
margin_sampling, 30:0.2
simple_ucb, 30:0.19
balanced_ratio, 30:0.19
PI_linear, 30:0.19
harmonic_mean, 30:0.19
exp_margin, 30:0.19
ALBD, 30:0.54
exploit, 50:0.38
explore, 50:0.38
Random, 50:0.37
b2, 50:0.37
EI_Linear, 50:4.46
expoit2, 50:0.38
UCB_GPM, 50:20.35
uncertainty_score, 50:0.38
margin_sampling, 50:0.38
simple_ucb, 50:0.38
balanced_ratio, 50:0.38
PI_linear, 50:0.38
harmonic_mean, 50:0.38
exp_margin, 50:0.38
ALBD, 50:0.99
#
0,                    b2, 50,  0.28,  0.03, * -----             |                   ,  0.27,  0.27,  0.28,  0.30,  0.37
0,               UCB_GPM, 50,  0.28,  0.03, *                   |                   ,  0.27,  0.28,  0.28,  0.31,  0.32
#
1,            exp_margin, 30,  0.30,  0.03,   *------           |                   ,  0.27,  0.28,  0.30,  0.31,  0.39
1,               exploit, 50,  0.30,  0.04,   *---              |                   ,  0.27,  0.27,  0.30,  0.31,  0.36
1,               UCB_GPM, 30,  0.31,  0.05,   *  -----          |                   ,  0.27,  0.28,  0.31,  0.34,  0.40
1,               explore, 50,  0.31,  0.04,   *---              |                   ,  0.27,  0.28,  0.31,  0.32,  0.36
1,       margin_sampling, 50,  0.31,  0.04,   *--               |                   ,  0.27,  0.28,  0.31,  0.32,  0.34
1,                  ALBD, 50,  0.31,  0.05,   *  ----           |                   ,  0.27,  0.28,  0.31,  0.34,  0.39
1,                    b2, 30,  0.31,  0.03, -- * ---            |                   ,  0.28,  0.31,  0.31,  0.34,  0.38
1,             PI_linear, 30,  0.32,  0.05,    *  ---           |                   ,  0.30,  0.31,  0.32,  0.36,  0.39
1,                  ALBD, 30,  0.32,  0.04, -- * ---            |                   ,  0.28,  0.31,  0.32,  0.34,  0.38
1,            simple_ucb, 50,  0.32,  0.02, -- *--              |                   ,  0.28,  0.31,  0.32,  0.33,  0.36
#
2,            exp_margin, 50,  0.33,  0.03, --- *----           |                   ,  0.28,  0.31,  0.33,  0.34,  0.39
2,               explore, 30,  0.34,  0.06, --   *---           |                   ,  0.27,  0.30,  0.34,  0.36,  0.40
2,       margin_sampling, 30,  0.34,  0.03, --   *----          |                   ,  0.28,  0.31,  0.34,  0.34,  0.40
2,               exploit, 30,  0.34,  0.03, ---- *--            |                   ,  0.27,  0.33,  0.34,  0.36,  0.38
2,                Random, 50,  0.34,  0.03,   -- *---           |                   ,  0.31,  0.33,  0.34,  0.36,  0.39
2,             EI_Linear, 50,  0.34,  0.05,   -  * ---          |                   ,  0.30,  0.32,  0.34,  0.37,  0.41
2,             PI_linear, 50,  0.34,  0.04, ---  *---           |                   ,  0.28,  0.32,  0.34,  0.36,  0.40
2,                Random, 30,  0.34,  0.02,     -*----          |                   ,  0.33,  0.34,  0.34,  0.36,  0.41
#
3,                  ALBD, 10,  0.36,  0.07,   --  *  -------    |                   ,  0.31,  0.33,  0.36,  0.40,  0.48
3,            simple_ucb, 30,  0.36,  0.03,   --- *-------      |                   ,  0.31,  0.34,  0.36,  0.37,  0.46
3,             EI_Linear, 30,  0.36,  0.05,    -- *  --         |                   ,  0.31,  0.34,  0.36,  0.39,  0.42
3,               UCB_GPM, 10,  0.37,  0.05,   --   *----        |                   ,  0.30,  0.33,  0.37,  0.38,  0.43
#
4,            exp_margin, 10,  0.38,  0.05,   ----  * --        |                   ,  0.30,  0.36,  0.38,  0.40,  0.43
4,             EI_Linear, 10,  0.38,  0.06,     --  *  --       |                   ,  0.33,  0.36,  0.38,  0.42,  0.44
4,               exploit, 10,  0.39,  0.14,    --    *     -----|                   ,  0.32,  0.34,  0.39,  0.47,  0.53
4,       margin_sampling, 10,  0.39,  0.07,     ---  *  ----    |                   ,  0.33,  0.37,  0.39,  0.43,  0.48
4,               expoit2, 30,  0.39,  0.03,     -----* ---      |                   ,  0.33,  0.39,  0.39,  0.41,  0.46
4,               explore, 10,  0.39,  0.08,     --   *  ---     |                   ,  0.33,  0.36,  0.39,  0.43,  0.46
4,                    b2, 10,  0.40,  0.04,    -----  * -----   |                   ,  0.32,  0.38,  0.40,  0.42,  0.49
4,               expoit2, 50,  0.40,  0.06,         - *  -      |                   ,  0.38,  0.39,  0.40,  0.44,  0.46
4,     uncertainty_score, 10,  0.41,  0.05,    ------ * --      |                   ,  0.31,  0.39,  0.41,  0.43,  0.46
4,        balanced_ratio, 30,  0.42,  0.09,      ---   *   -----|                   ,  0.34,  0.38,  0.42,  0.46,  0.55
4,                Random, 10,  0.42,  0.08,      --    * -----  |                   ,  0.34,  0.37,  0.42,  0.44,  0.51
