datapath:/Users/vilkomira21/My Drive/ALBD/data/add_dim/dress-up.csv
asIs:0.705
div:0.002
rows:913
xcols:20
ycols:2
exploit, 10:0.01
explore, 10:0.01
Random, 10:0.01
b2, 10:0.01
EI_Linear, 10:0.13
expoit2, 10:0.01
UCB_GPM, 10:0.74
uncertainty_score, 10:0.01
margin_sampling, 10:0.01
simple_ucb, 10:0.01
balanced_ratio, 10:0.01
PI_linear, 10:0.01
harmonic_mean, 10:0.01
exp_margin, 10:0.01
ALBD, 10:0.02
exploit, 28:0.03
explore, 28:0.03
Random, 28:0.03
b2, 28:0.03
EI_Linear, 28:0.52
expoit2, 28:0.03
UCB_GPM, 28:3.14
uncertainty_score, 28:0.03
margin_sampling, 28:0.03
simple_ucb, 28:0.04
balanced_ratio, 28:0.03
PI_linear, 28:0.03
harmonic_mean, 28:0.03
exp_margin, 28:0.03
ALBD, 28:0.09
exploit, 46:0.06
explore, 46:0.06
Random, 46:0.06
b2, 46:0.06
EI_Linear, 46:0.91
expoit2, 46:0.06
UCB_GPM, 46:6.52
uncertainty_score, 46:0.07
margin_sampling, 46:0.06
simple_ucb, 46:0.07
balanced_ratio, 46:0.06
PI_linear, 46:0.06
harmonic_mean, 46:0.06
exp_margin, 46:0.07
ALBD, 46:0.17
#
0,               UCB_GPM, 28,  0.07,  0.00, *-------------------|----               ,  0.07,  0.07,  0.07,  0.07,  0.65
0,               UCB_GPM, 46,  0.07,  0.00, *                   |                   ,  0.07,  0.07,  0.07,  0.07,  0.07
0,       margin_sampling, 46,  0.07,  0.64, *                   |                   ,  0.07,  0.07,  0.07,  0.71,  0.72
0,                  ALBD, 46,  0.07,  0.00, *-------------------|-------            ,  0.07,  0.07,  0.07,  0.07,  0.71
#
1,               exploit, 46,  0.65,  0.64,                     |    *              ,  0.07,  0.07,  0.65,  0.71,  0.71
#
2,               expoit2, 10,  0.70,  0.05, --------------------|----  *            ,  0.07,  0.65,  0.70,  0.70,  0.71
2,               UCB_GPM, 10,  0.70,  0.05, --------------------|----  *            ,  0.07,  0.65,  0.70,  0.70,  0.72
2,               explore, 28,  0.70,  0.64,                     |      *            ,  0.07,  0.07,  0.70,  0.71,  0.72
2,               expoit2, 28,  0.70,  0.06, --------------------|----- *----        ,  0.07,  0.66,  0.70,  0.72,  0.80
2,               expoit2, 46,  0.70,  0.14,                     |    - *            ,  0.65,  0.66,  0.70,  0.80,  0.80
2,            exp_margin, 28,  0.70,  0.64,                     |       *           ,  0.07,  0.07,  0.70,  0.71,  0.71
2,                  ALBD, 28,  0.70,  0.06, --------------------|----   *           ,  0.07,  0.65,  0.70,  0.71,  0.71
2,            exp_margin, 10,  0.70,  0.00,                     |     --*           ,  0.66,  0.70,  0.70,  0.71,  0.71
2,                Random, 28,  0.70,  0.01,                     |       *           ,  0.70,  0.70,  0.70,  0.71,  0.71
2,               exploit, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,                    b2, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,            simple_ucb, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,                  ALBD, 10,  0.71,  0.00,                     |      -*           ,  0.70,  0.70,  0.71,  0.71,  0.72
2,             PI_linear, 28,  0.71,  0.00, --------------------|-------*           ,  0.07,  0.70,  0.71,  0.71,  0.71
2,        balanced_ratio, 46,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,                  asIs,913,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,               explore, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,       margin_sampling, 10,  0.71,  0.00,                     |      -*           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,            exp_margin, 46,  0.71,  0.05, --------------------|-----  *           ,  0.07,  0.66,  0.71,  0.71,  0.72
2,     uncertainty_score, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,        balanced_ratio, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.71
2,     uncertainty_score, 28,  0.71,  0.00,                     |       *           ,  0.71,  0.71,  0.71,  0.71,  0.71
2,             EI_Linear, 46,  0.71,  0.01, --------------------|------ *           ,  0.07,  0.70,  0.71,  0.71,  0.71
2,                Random, 10,  0.71,  0.00,                     |      -*           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,         harmonic_mean, 46,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,             EI_Linear, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,            simple_ucb, 28,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,            simple_ucb, 46,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,        balanced_ratio, 28,  0.71,  0.00,                     |       *           ,  0.71,  0.71,  0.71,  0.71,  0.71
2,                    b2, 46,  0.71,  0.00,                     |      -*           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,             PI_linear, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,         harmonic_mean, 28,  0.71,  0.00,                     |       *           ,  0.71,  0.71,  0.71,  0.71,  0.71
2,             PI_linear, 46,  0.71,  0.00, --------------------|-------*           ,  0.07,  0.70,  0.71,  0.71,  0.71
2,         harmonic_mean, 10,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.72
2,               exploit, 28,  0.71,  0.00, --------------------|-------*           ,  0.07,  0.70,  0.71,  0.71,  0.71
2,     uncertainty_score, 46,  0.71,  0.00,                     |       *           ,  0.70,  0.71,  0.71,  0.71,  0.71
2,                    b2, 28,  0.71,  0.00, --------------------|-------*           ,  0.07,  0.71,  0.71,  0.71,  0.71
2,       margin_sampling, 28,  0.71,  0.00,                     |     --*           ,  0.66,  0.71,  0.71,  0.71,  0.71
2,               explore, 46,  0.71,  0.06, --------------------|----   *           ,  0.07,  0.65,  0.71,  0.71,  0.71
2,                Random, 46,  0.71,  0.01,                     |       *           ,  0.70,  0.70,  0.71,  0.71,  0.72
2,             EI_Linear, 28,  0.71,  0.00,                     |      -*           ,  0.70,  0.71,  0.71,  0.71,  0.71
