datapath:/Users/vilkomira21/My Drive/ALBD/data/add_dim/player_statistics_cleaned_final.csv
asIs:0.36
div:0.554
rows:81
xcols:26
ycols:1
exploit, 4:0.0
explore, 4:0.0
Random, 4:0.0
b2, 4:0.0
EI_Linear, 4:0.0
expoit2, 4:0.0
UCB_GPM, 4:0.0
uncertainty_score, 4:0.0
margin_sampling, 4:0.0
simple_ucb, 4:0.0
balanced_ratio, 4:0.0
PI_linear, 4:0.0
harmonic_mean, 4:0.0
exp_margin, 4:0.0
ALBD, 4:0.0
exploit, 6:0.0
explore, 6:0.0
Random, 6:0.0
b2, 6:0.0
EI_Linear, 6:0.06
expoit2, 6:0.0
UCB_GPM, 6:0.1
uncertainty_score, 6:0.0
margin_sampling, 6:0.0
simple_ucb, 6:0.0
balanced_ratio, 6:0.0
PI_linear, 6:0.0
harmonic_mean, 6:0.0
exp_margin, 6:0.0
ALBD, 6:0.01
exploit, 8:0.01
explore, 8:0.01
Random, 8:0.01
b2, 8:0.01
EI_Linear, 8:0.12
expoit2, 8:0.01
UCB_GPM, 8:0.21
uncertainty_score, 8:0.01
margin_sampling, 8:0.01
simple_ucb, 8:0.01
balanced_ratio, 8:0.01
PI_linear, 8:0.01
harmonic_mean, 8:0.01
exp_margin, 8:0.01
ALBD, 8:0.01
#
0,                 Random, 6,  0.10,  0.09, -- *  ---           |                   ,  0.00,  0.06,  0.10,  0.15,  0.25
0,                   ALBD, 6,  0.10,  0.13, -- *   -----        |                   ,  0.00,  0.06,  0.10,  0.19,  0.31
0,                explore, 8,  0.10,  0.04,   -*------          |                   ,  0.06,  0.08,  0.10,  0.11,  0.25
0,                 Random, 8,  0.10,  0.10, ---*   -            |                   ,  0.00,  0.08,  0.10,  0.18,  0.20
0,                UCB_GPM, 8,  0.10,  0.03,   -*                |                   ,  0.06,  0.08,  0.10,  0.10,  0.10
0,      uncertainty_score, 8,  0.10,  0.02,     *----           |                   ,  0.08,  0.10,  0.10,  0.12,  0.25
0,          harmonic_mean, 8,  0.10,  0.05,   - * --            |                   ,  0.06,  0.10,  0.10,  0.15,  0.20
0,                   ALBD, 8,  0.10,  0.01,   - *---            |                   ,  0.06,  0.10,  0.10,  0.11,  0.22
0,                exploit, 6,  0.11,  0.13,   - *   ----        |                   ,  0.06,  0.10,  0.11,  0.22,  0.31
0,                explore, 6,  0.11,  0.05,    -* ----          |                   ,  0.10,  0.11,  0.11,  0.16,  0.25
0,                UCB_GPM, 6,  0.11,  0.11,    -*               |                   ,  0.08,  0.10,  0.11,  0.21,  0.22
0,         balanced_ratio, 6,  0.11,  0.09,     *  ---          |                   ,  0.08,  0.10,  0.11,  0.19,  0.25
0,             exp_margin, 6,  0.11,  0.02, --- *--             |                   ,  0.00,  0.10,  0.11,  0.12,  0.19
0,              EI_Linear, 8,  0.11,  0.10,   - *   --          |                   ,  0.06,  0.10,  0.11,  0.20,  0.26
0,              PI_linear, 8,  0.11,  0.07,   --*  --           |                   ,  0.06,  0.10,  0.11,  0.18,  0.25
0,             simple_ucb, 6,  0.11,  0.08,   --*  ---          |                   ,  0.06,  0.10,  0.11,  0.19,  0.25
0,                exploit, 8,  0.11,  0.08,     *  --           |                   ,  0.10,  0.10,  0.11,  0.18,  0.25
0,                     b2, 8,  0.11,  0.07,   - * --            |                   ,  0.06,  0.10,  0.11,  0.17,  0.21
0,        margin_sampling, 8,  0.11,  0.08,   - *  -----        |                   ,  0.06,  0.10,  0.11,  0.18,  0.30
0,             simple_ucb, 8,  0.11,  0.09,   - * ----          |                   ,  0.06,  0.08,  0.11,  0.17,  0.26
0,                exploit, 4,  0.12,  0.08,     *  ---          |                   ,  0.10,  0.11,  0.12,  0.19,  0.25
0,                     b2, 4,  0.12,  0.08,    -*  ------       |                   ,  0.10,  0.11,  0.12,  0.20,  0.33
0,                expoit2, 6,  0.12,  0.09,   - *  ---          |                   ,  0.06,  0.10,  0.12,  0.19,  0.26
0,          harmonic_mean, 6,  0.12,  0.08,   - *  -----        |                   ,  0.06,  0.10,  0.12,  0.18,  0.32
0,                expoit2, 8,  0.12,  0.01,    -*--             |                   ,  0.08,  0.10,  0.12,  0.12,  0.19
#
1,                explore, 4,  0.15,  0.10,    -  * ----------  |                   ,  0.10,  0.10,  0.15,  0.20,  0.47
1,              PI_linear, 4,  0.15,  0.08,   -   *-            |                   ,  0.06,  0.10,  0.15,  0.18,  0.21
1,                     b2, 6,  0.15,  0.08,    -  *-----        |                   ,  0.08,  0.10,  0.15,  0.19,  0.32
1,         balanced_ratio, 8,  0.15,  0.11, ---   *------       |                   ,  0.00,  0.08,  0.15,  0.19,  0.34
1,      uncertainty_score, 4,  0.16,  0.10,    -  * ------      |                   ,  0.10,  0.10,  0.16,  0.20,  0.36
1,              EI_Linear, 6,  0.16,  0.09,    -  *-----        |                   ,  0.08,  0.11,  0.16,  0.20,  0.32
1,        margin_sampling, 6,  0.16,  0.10,   -   * ----        |                   ,  0.06,  0.10,  0.16,  0.20,  0.30
1,             exp_margin, 8,  0.16,  0.06,    -  *------       |                   ,  0.10,  0.11,  0.16,  0.18,  0.34
1,             simple_ucb, 4,  0.17,  0.14,    -  *   --        |                   ,  0.08,  0.12,  0.17,  0.26,  0.31
1,                 Random, 4,  0.18,  0.13,     -- *            |                   ,  0.11,  0.17,  0.18,  0.30,  0.32
1,              EI_Linear, 4,  0.18,  0.10, ----   *--------    |                   ,  0.00,  0.11,  0.18,  0.21,  0.40
1,                UCB_GPM, 4,  0.18,  0.18,    -   *    ---     |                   ,  0.10,  0.12,  0.18,  0.30,  0.40
1,              PI_linear, 6,  0.18,  0.06,   ---- *--          |                   ,  0.06,  0.15,  0.18,  0.21,  0.25
1,                expoit2, 4,  0.19,  0.15,     -- *    ---     |                   ,  0.11,  0.15,  0.19,  0.30,  0.38
1,        margin_sampling, 4,  0.19,  0.21, ---    *    ---     |                   ,  0.00,  0.10,  0.19,  0.31,  0.38
1,         balanced_ratio, 4,  0.20,  0.13,    ----*    ----    |                   ,  0.10,  0.18,  0.20,  0.30,  0.41
1,                   ALBD, 4,  0.20,  0.15,    -   *  -----     |                   ,  0.10,  0.11,  0.20,  0.26,  0.38
1,      uncertainty_score, 6,  0.21,  0.11,    -    *-          |                   ,  0.10,  0.12,  0.21,  0.22,  0.26
1,             exp_margin, 4,  0.21,  0.09,     --  * --        |                   ,  0.10,  0.17,  0.21,  0.26,  0.32
#
2,          harmonic_mean, 4,  0.25,  0.06,   -----  *-----     |                   ,  0.06,  0.20,  0.25,  0.26,  0.38
#
3,                   asIs,81,  0.36,  0.21,     ------    *   --|-----              ,  0.12,  0.26,  0.36,  0.47,  0.67
