datapath:/Users/vilkomira21/My Drive/ALBD/data/config/SS-I.csv
asIs:0.365
div:0.311
rows:1080
xcols:5
ycols:2
exploit, 10:0.0
explore, 10:0.0
Random, 10:0.0
b2, 10:0.0
EI_Linear, 10:0.08
expoit2, 10:0.0
UCB_GPM, 10:0.33
uncertainty_score, 10:0.0
margin_sampling, 10:0.0
simple_ucb, 10:0.0
balanced_ratio, 10:0.0
PI_linear, 10:0.0
harmonic_mean, 10:0.0
exp_margin, 10:0.0
ALBD, 10:0.01
exploit, 32:0.02
explore, 32:0.02
Random, 32:0.02
b2, 32:0.02
EI_Linear, 32:0.35
expoit2, 32:0.02
UCB_GPM, 32:1.63
uncertainty_score, 32:0.02
margin_sampling, 32:0.02
simple_ucb, 32:0.02
balanced_ratio, 32:0.02
PI_linear, 32:0.02
harmonic_mean, 32:0.02
exp_margin, 32:0.02
ALBD, 32:0.06
exploit, 54:0.04
explore, 54:0.04
Random, 54:0.04
b2, 54:0.04
EI_Linear, 54:0.63
expoit2, 54:0.04
UCB_GPM, 54:3.52
uncertainty_score, 54:0.04
margin_sampling, 54:0.04
simple_ucb, 54:0.04
balanced_ratio, 54:0.04
PI_linear, 54:0.04
harmonic_mean, 54:0.04
exp_margin, 54:0.04
ALBD, 54:0.11
#
0,                    b2, 54,  0.00,  0.24, *                   |                   ,  0.00,  0.00,  0.00,  0.24,  0.25
0,             PI_linear, 54,  0.00,  0.00, *----------         |                   ,  0.00,  0.00,  0.00,  0.01,  0.25
0,                  ALBD, 54,  0.00,  0.02, *-                  |                   ,  0.00,  0.00,  0.00,  0.02,  0.06
0,             PI_linear, 32,  0.01,  0.03, *----------         |                   ,  0.00,  0.00,  0.01,  0.03,  0.24
0,             EI_Linear, 54,  0.01,  0.02, *----               |                   ,  0.00,  0.00,  0.01,  0.02,  0.12
0,               UCB_GPM, 32,  0.02,  0.06, * ---------         |                   ,  0.00,  0.01,  0.02,  0.06,  0.24
0,                  ALBD, 32,  0.02,  0.02, *----------         |                   ,  0.00,  0.00,  0.02,  0.02,  0.24
0,               exploit, 32,  0.02,  0.24, *                   |                   ,  0.00,  0.00,  0.02,  0.24,  0.26
0,               exploit, 54,  0.02,  0.24, *                   |                   ,  0.00,  0.00,  0.02,  0.24,  0.25
0,               UCB_GPM, 54,  0.02,  0.02, *----------         |                   ,  0.00,  0.01,  0.02,  0.02,  0.24
0,                    b2, 32,  0.02,  0.24,  *                  |                   ,  0.00,  0.00,  0.02,  0.24,  0.25
0,               exploit, 10,  0.03,  0.24,  *         --       |                   ,  0.00,  0.01,  0.03,  0.25,  0.29
0,                Random, 54,  0.03,  0.10,  *   ------         |                   ,  0.00,  0.02,  0.03,  0.12,  0.24
0,                Random, 32,  0.04,  0.22,  *        --        |                   ,  0.00,  0.01,  0.04,  0.23,  0.27
0,       margin_sampling, 54,  0.05,  0.19, - *      --         |                   ,  0.00,  0.03,  0.05,  0.22,  0.25
0,         harmonic_mean, 54,  0.05,  0.23,   *        -        |                   ,  0.00,  0.02,  0.05,  0.24,  0.26
#
1,       margin_sampling, 32,  0.06,  0.18, - *      ---        |                   ,  0.00,  0.03,  0.06,  0.21,  0.27
1,            exp_margin, 54,  0.06,  0.22,   *                 |                   ,  0.00,  0.02,  0.06,  0.24,  0.25
#
2,               explore, 54,  0.12,  0.24,      *     --       |                   ,  0.00,  0.00,  0.12,  0.24,  0.29
2,            exp_margin, 32,  0.15,  0.22, -      *            |                   ,  0.00,  0.02,  0.15,  0.24,  0.26
2,             EI_Linear, 32,  0.16,  0.13, -----  *   --       |                   ,  0.02,  0.12,  0.16,  0.25,  0.28
