Dataset,CPU Time (s),GPU Time (s),Speedup,CPU Memory (MB),GPU Memory (MB),Memory Ratio,CPU Score,GPU Score,Score Difference (%)
rs-6d-c3_obj2.csv,0.1304919719696045,0.004001935323079427,32.607216617682106,0.359375,0.0625,5.75,0.0,0.0,0
sol-6d-c2-obj1.csv,0.13057160377502441,0.0037867228190104165,34.48142629281397,0.125,0.0,0,0.0,0.0,0
wc+wc-3d-c4-obj1.csv,0.12902363141377768,0.0017923514048258464,71.98567818028644,-0.046875,0.0,0,0.0,0.0,0
rs-6d-c3_obj1.csv,0.13224061330159506,0.003957668940226237,33.41376332858089,0.078125,0.0,0,0.0,0.0,0
wc+rs-3d-c4-obj1.csv,0.1294099489847819,0.001794735590616862,72.10530044723906,0.0,0.0,0,0.0,0.0,0
wc-6d-c1-obj1.csv,0.1327049732208252,0.003856658935546875,34.40931008902077,0.125,0.0,0,0.0,0.0,0
auto93.csv,0.1302356719970703,0.0022150675455729165,58.79535017221585,0.0,0.0,0,0.0,0.0,0
Wine_quality.csv,0.1336066722869873,0.005044619242350261,26.484986451572247,0.0,0.015625,0.0,0.0,0.0,0
wc+sol-3d-c4-obj1.csv,0.13179238637288412,0.0018010139465332031,73.17677168828877,0.0,0.0,0,0.0,0.0,0
sol-6d-c2-obj1.csv,0.13203740119934082,0.0038520495096842446,34.27718176191459,0.109375,0.0625,1.75,0.0,0.0,0
wc+wc-3d-c4-obj1.csv,0.13012035687764487,0.001817941665649414,71.57565027322404,0.0,0.0,0,0.0,0.0,0
rs-6d-c3_obj1.csv,0.13240861892700195,0.00412901242574056,32.06786642286595,0.15625,0.046875,3.3333333333333335,0.0,0.0,0
Apache_AllMeasurements.csv,0.13080167770385742,0.0024633407592773438,53.099303135888505,-0.078125,0.0,0,0.0,0.0,0
wc+rs-3d-c4-obj1.csv,0.13165624936421713,0.0018206437428792317,72.313021083417,0.0,0.0,0,0.0,0.0,0
SS-H.csv,0.13135592142740884,0.002296288808186849,57.20357167578043,0.0,0.0,0,0.0,0.0,0
SS-I.csv,0.13202198346455893,0.0029959678649902344,44.06655525492069,0.0,0.0,0,0.0,0.0,0
SS-K.csv,0.1334526538848877,0.003857294718424479,34.59747403988792,0.015625,0.0,0,0.0,0.0,0
SS-J.csv,0.13159966468811035,0.004258394241333008,30.90358882481384,0.046875,0.0,0,0.0,0.0,0
wc-6d-c1-obj1.csv,0.1325074036916097,0.003885030746459961,34.10716988851386,0.0,0.0,0,0.0,0.0,0
SS-A.csv,0.12952605883280435,0.00218963623046875,59.15414488966318,0.0,0.0,0,0.0,0.0,0
SS-B.csv,0.12968039512634277,0.0018626848856608074,69.62014677020224,0.0,0.0,0,0.0,0.0,0
SS-C.csv,0.1290872891743978,0.002227942148844401,57.9401441107227,0.0,0.0,0,0.0,0.0,0
SS-G.csv,0.12948338190714517,0.0018320083618164062,70.67837931632829,0.0,0.0,0,0.0,0.0,0
SS-F.csv,0.1306466261545817,0.0018870035807291667,69.2349646226415,0.0,0.0,0,0.0,0.0,0
SS-D.csv,0.13073261578877768,0.001853624979654948,70.52808266163609,0.0,0.0,0,0.0,0.0,0
SS-S.csv,0.13308866818745932,0.004205624262491862,31.64540146261267,0.03125,0.0,0,0.0,0.0,0
SS-E.csv,0.12979737917582193,0.0020182927449544272,64.31048196566387,0.0,0.0,0,0.0,0.0,0
healthCloseIsses12mths0001-hard.csv,0.1381207307179769,0.005579630533854167,24.75445818140383,0.015625,0.0,0,0.0,0.0,0
healthCloseIsses12mths0011-easy.csv,0.13749472300211588,0.005546967188517253,24.78736908463114,0.0,0.0,0,0.0,0.0,0
pom3b.csv,0.13521830240885416,0.004526615142822266,29.87183538747849,0.0,0.0,0,0.0,0.0,0
pom3c.csv,0.13430031140645346,0.004593690236409505,29.235822289886165,0.015625,0.0,0,0.0,0.0,0
pom3a.csv,0.1340936024983724,0.004545370737711589,29.50113648284785,0.0,0.0,0,0.0,0.0,0
pom3d.csv,0.1336076259613037,0.004538377126057942,29.43951598781214,0.0,0.0,0,0.0,0.0,0
HSMGP_num.csv,0.13477770487467447,0.005387941996256511,25.014691132220186,0.015625,0.0,0,0.0,0.0,0
HSMGP_num.csv,0.1357856591542562,0.005370696385701497,25.282691368620434,0.03125,0.0,0,0.0,0.0,0
SS-N.csv,0.158800999323527,0.024770736694335938,6.4108307024973685,4.53125,1.75,2.5892857142857144,0.0,0.0,0
SS-O.csv,0.13941065470377603,0.004316965738932292,32.29366715758468,0.0,0.0,0,0.0,0.0,0
SS-X.csv,0.16207591692606607,0.02966936429341634,5.462736421421435,11.4375,4.734375,2.4158415841584158,0.0,0.0,0
SS-M.csv,0.13575259844462076,0.004455725351969401,30.46700317482966,-1.0,0.0,0,0.0,0.0,0
SS-L.csv,0.1367816130320231,0.0052839914957682295,25.88603958609072,0.0,0.0,0,0.0,0.0,0
SS-V.csv,0.1391613483428955,0.006260792414347331,22.22743370695236,0.0,0.0,0,0.0,0.0,0
SS-W.csv,0.15474295616149902,0.023520867029825848,6.578964796037315,1.96875,0.40625,4.846153846153846,0.0,0.0,0
SS-T.csv,0.1356987158457438,0.005374590555826823,25.248196013485536,0.0,0.0,0,0.0,0.0,0
SS-P.csv,0.13299338022867838,0.003187974294026693,41.717205963005426,0.0,0.0,0,0.0,0.0,0
SS-Q.csv,0.1360323429107666,0.005068063735961914,26.841087641718023,0.0,0.0,0,0.0,0.0,0
X264_AllMeasurements.csv,0.13474933306376138,0.004188696543375651,32.169752969301406,0.0,0.0,0,0.0,0.0,0
